"tconst"	"titleType"	"primaryTitle"	"originalTitle"	"isAdult"	"startYear"	"endYear"	"runtimeMinutes"	"genres"	"averageRating"	"numVotes"
"50298"	"tt0051201"	"movie"	"Witness for the Prosecution"	"Witness for the Prosecution"	0	1957	"\N"	"116"	"Crime,Drama,Mystery"	8.4	90212
"50304"	"tt0051207"	"movie"	"The Wrong Man"	"The Wrong Man"	0	1956	"\N"	"105"	"Drama,Film-Noir"	7.5	22770
"50318"	"tt0051221"	"movie"	"Zero Hour!"	"Zero Hour!"	0	1957	"\N"	"81"	"Action,Adventure,Drama"	6.6	1248
"50432"	"tt0051337"	"movie"	"The 7th Voyage of Sinbad"	"The 7th Voyage of Sinbad"	0	1958	"\N"	"88"	"Action,Adventure,Family"	7.1	10338
"50460"	"tt0051365"	"movie"	"The Magician"	"Ansiktet"	0	1958	"\N"	"101"	"Comedy,Drama"	7.7	7770
"50473"	"tt0051378"	"movie"	"Elevator to the Gallows"	"Ascenseur pour l'échafaud"	0	1958	"\N"	"91"	"Crime,Drama,Thriller"	8	18073
"50475"	"tt0051380"	"movie"	"Attack of the 50 Foot Woman"	"Attack of the 50 Foot Woman"	0	1958	"\N"	"65"	"Horror,Sci-Fi"	5.1	4168
"50478"	"tt0051383"	"movie"	"Auntie Mame"	"Auntie Mame"	0	1958	"\N"	"143"	"Comedy,Drama,Romance"	8	9424
"50484"	"tt0051390"	"movie"	"Cairo Station"	"Bab el hadid"	0	1958	"\N"	"77"	"Comedy,Crime,Drama"	7.8	2553
"50487"	"tt0051393"	"movie"	"The Badlanders"	"The Badlanders"	0	1958	"\N"	"85"	"Romance,Western"	6.5	1027
"50492"	"tt0051398"	"movie"	"The Barbarian and the Geisha"	"The Barbarian and the Geisha"	0	1958	"\N"	"105"	"Adventure,Drama,History"	5.6	1614
"50498"	"tt0051404"	"movie"	"Le Beau Serge"	"Le beau Serge"	0	1958	"\N"	"98"	"Drama"	7.2	2579
"50500"	"tt0051406"	"movie"	"Bell Book and Candle"	"Bell Book and Candle"	0	1958	"\N"	"106"	"Comedy,Fantasy,Romance"	6.9	8553
"50505"	"tt0051411"	"movie"	"The Big Country"	"The Big Country"	0	1958	"\N"	"166"	"Romance,Western"	7.9	13818
"50507"	"tt0051413"	"movie"	"The H-Man"	"Bijo to ekitai ningen"	0	1958	"\N"	"87"	"Crime,Horror,Sci-Fi"	6.1	1012
"50512"	"tt0051418"	"movie"	"The Blob"	"The Blob"	0	1958	"\N"	"86"	"Horror,Sci-Fi"	6.4	20031
"50522"	"tt0051429"	"movie"	"Bonjour Tristesse"	"Bonjour tristesse"	0	1958	"\N"	"94"	"Drama,Romance"	6.9	3906
"50526"	"tt0051433"	"movie"	"The Bravados"	"The Bravados"	0	1958	"\N"	"98"	"Drama,Western"	7	4100
"50528"	"tt0051435"	"movie"	"The Brothers Karamazov"	"The Brothers Karamazov"	0	1958	"\N"	"145"	"Drama,Romance"	6.8	2258
"50529"	"tt0051436"	"movie"	"The Buccaneer"	"The Buccaneer"	0	1958	"\N"	"119"	"Adventure,Drama,History"	6.6	2030
"50530"	"tt0051437"	"movie"	"Buchanan Rides Alone"	"Buchanan Rides Alone"	0	1958	"\N"	"80"	"Drama,Western"	6.9	1926
"50545"	"tt0051452"	"movie"	"Carry on Nurse"	"Carry on Nurse"	0	1959	"\N"	"86"	"Comedy,Romance"	6.3	2204
"50546"	"tt0051453"	"movie"	"Carry On Sergeant"	"Carry On Sergeant"	0	1958	"\N"	"84"	"Comedy,War"	6.3	2014
"50547"	"tt0051454"	"movie"	"Carve Her Name with Pride"	"Carve Her Name with Pride"	0	1958	"\N"	"119"	"Biography,Drama,War"	7.3	1427
"50552"	"tt0051459"	"movie"	"Cat on a Hot Tin Roof"	"Cat on a Hot Tin Roof"	0	1958	"\N"	"108"	"Drama"	8.1	40014
"50588"	"tt0051496"	"movie"	"Cowboy"	"Cowboy"	0	1958	"\N"	"92"	"Western"	6.8	2293
"50608"	"tt0051516"	"movie"	"Damn Yankees"	"Damn Yankees"	0	1958	"\N"	"111"	"Comedy,Musical,Romance"	7.2	2156
"50610"	"tt0051519"	"movie"	"Darby's Rangers"	"Darby's Rangers"	0	1958	"\N"	"121"	"Action,Drama,War"	6.5	1041
"50616"	"tt0051525"	"movie"	"The Defiant Ones"	"The Defiant Ones"	0	1958	"\N"	"96"	"Crime,Drama"	7.7	11789
"50625"	"tt0051534"	"movie"	"Desire Under the Elms"	"Desire Under the Elms"	0	1958	"\N"	"111"	"Drama,Romance"	6.6	1012
"50633"	"tt0051542"	"movie"	"Corridors of Blood"	"Corridors of Blood"	0	1958	"\N"	"86"	"Crime,Horror,Thriller"	6.5	1491
"50645"	"tt0051554"	"movie"	"Horror of Dracula"	"Dracula"	0	1958	"\N"	"82"	"Horror"	7.4	18533
"50656"	"tt0051565"	"movie"	"Dunkirk"	"Dunkirk"	0	1958	"\N"	"135"	"Action,Drama,History"	7.1	2189
"50660"	"tt0051569"	"movie"	"Lake of the Dead"	"De dødes tjern"	0	1958	"\N"	"76"	"Horror,Mystery,Thriller"	7.2	1555
"50670"	"tt0051579"	"movie"	"Love Is My Profession"	"En cas de malheur"	0	1958	"\N"	"105"	"Crime,Drama,Romance"	6.9	1062
"50678"	"tt0051588"	"movie"	"It Happened in Broad Daylight"	"Es geschah am hellichten Tag"	0	1958	"\N"	"100"	"Crime,Drama,Thriller"	7.8	3937
"50709"	"tt0051622"	"movie"	"The Fly"	"The Fly"	0	1958	"\N"	"94"	"Drama,Horror,Sci-Fi"	7.1	18745
"50725"	"tt0051638"	"movie"	"From the Earth to the Moon"	"From the Earth to the Moon"	0	1958	"\N"	"101"	"Adventure,Fantasy,Sci-Fi"	5.2	1275
"50736"	"tt0051649"	"movie"	"The Geisha Boy"	"The Geisha Boy"	0	1958	"\N"	"98"	"Comedy"	6.5	1624
"50745"	"tt0051658"	"movie"	"Gigi"	"Gigi"	0	1958	"\N"	"115"	"Comedy,Musical,Romance"	6.8	17636
"50753"	"tt0051666"	"movie"	"God's Little Acre"	"God's Little Acre"	0	1958	"\N"	"118"	"Comedy,Drama,Romance"	6.7	1496
"50775"	"tt0051690"	"movie"	"Gunman's Walk"	"Gunman's Walk"	0	1958	"\N"	"97"	"Western"	7	1044
"50778"	"tt0051693"	"movie"	"H-8..."	"H-8..."	0	1958	"\N"	"105"	"Drama"	8.5	1053
"50791"	"tt0051706"	"movie"	"The Haunted Strangler"	"Grip of the Strangler"	0	1958	"\N"	"78"	"Crime,Horror,Mystery"	6.3	1059
"50798"	"tt0051713"	"movie"	"Hell Drivers"	"Hell Drivers"	0	1957	"\N"	"108"	"Crime,Drama,Thriller"	7.2	2436
"50805"	"tt0051720"	"movie"	"Equinox Flower"	"Higanbana"	0	1958	"\N"	"118"	"Comedy,Drama"	8	3131
"50824"	"tt0051739"	"movie"	"The Horse's Mouth"	"The Horse's Mouth"	0	1958	"\N"	"97"	"Comedy"	7.6	2964
"50829"	"tt0051744"	"movie"	"House on Haunted Hill"	"House on Haunted Hill"	0	1959	"\N"	"75"	"Horror,Mystery"	6.9	20120
"50830"	"tt0051745"	"movie"	"Houseboat"	"Houseboat"	0	1958	"\N"	"110"	"Comedy,Drama,Family"	6.7	6788
"50835"	"tt0051750"	"movie"	"The Hunters"	"The Hunters"	0	1958	"\N"	"108"	"Action,Drama,Romance"	6.5	1211
"50840"	"tt0051755"	"movie"	"I Bury the Living"	"I Bury the Living"	0	1958	"\N"	"77"	"Horror"	6.3	2194
"50841"	"tt0051756"	"movie"	"I Married a Monster from Outer Space"	"I Married a Monster from Outer Space"	0	1958	"\N"	"78"	"Horror,Sci-Fi"	6.4	2194
"50843"	"tt0051758"	"movie"	"I Want to Live!"	"I Want to Live!"	0	1958	"\N"	"120"	"Biography,Crime,Drama"	7.5	5198
"50858"	"tt0051773"	"movie"	"Indiscreet"	"Indiscreet"	0	1958	"\N"	"100"	"Comedy,Romance"	6.8	6842
"50861"	"tt0051776"	"movie"	"The Inn of the Sixth Happiness"	"The Inn of the Sixth Happiness"	0	1958	"\N"	"158"	"Biography,Drama,War"	7.3	4130
"50870"	"tt0051786"	"movie"	"It! The Terror from Beyond Space"	"It! The Terror from Beyond Space"	0	1958	"\N"	"69"	"Horror,Sci-Fi"	6.1	4027
"50873"	"tt0051790"	"movie"	"Ivan the Terrible, Part II"	"Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor"	0	1958	"\N"	"88"	"Biography,History"	7.7	6074
"50875"	"tt0051792"	"movie"	"The Music Room"	"Jalsaghar"	0	1958	"\N"	"100"	"Drama,Music"	8.1	4429
"50890"	"tt0051808"	"movie"	"The Hidden Fortress"	"Kakushi-toride no san-akunin"	0	1958	"\N"	"139"	"Adventure,Drama"	8.1	29481
"50898"	"tt0051816"	"movie"	"The Key"	"The Key"	0	1958	"\N"	"134"	"Drama,Romance,War"	6.7	1128
"50900"	"tt0051818"	"movie"	"King Creole"	"King Creole"	0	1958	"\N"	"116"	"Crime,Drama,Musical"	7	3955
"50901"	"tt0051819"	"movie"	"Kings Go Forth"	"Kings Go Forth"	0	1958	"\N"	"109"	"Action,Drama,Romance"	6.6	1229
"50927"	"tt0051845"	"movie"	"The Last Hurrah"	"The Last Hurrah"	0	1958	"\N"	"121"	"Comedy,Drama"	7.4	2600
"50930"	"tt0051848"	"movie"	"The Law and Jake Wade"	"The Law and Jake Wade"	0	1958	"\N"	"86"	"Drama,Romance,Western"	6.8	1860
"50931"	"tt0051849"	"movie"	"The Left Handed Gun"	"The Left Handed Gun"	0	1958	"\N"	"102"	"Western"	6.5	3440
"50948"	"tt0051866"	"movie"	"The Lineup"	"The Lineup"	0	1958	"\N"	"86"	"Crime,Drama,Film-Noir"	7.4	2160
"50960"	"tt0051878"	"movie"	"The Long, Hot Summer"	"The Long, Hot Summer"	0	1958	"\N"	"115"	"Drama"	7.5	8828
"50961"	"tt0051879"	"movie"	"Look Back in Anger"	"Look Back in Anger"	0	1959	"\N"	"98"	"Drama"	7.2	2915
"50969"	"tt0051887"	"movie"	"Machine-Gun Kelly"	"Machine-Gun Kelly"	0	1958	"\N"	"80"	"Action,Biography,Crime"	6.3	1070
"50980"	"tt0051899"	"movie"	"Man of the West"	"Man of the West"	0	1958	"\N"	"100"	"Drama,Romance,Western"	7.2	5823
"51005"	"tt0051927"	"movie"	"We Only Live Once"	"Mia zoi tin ehoume"	0	1958	"\N"	"111"	"Comedy,Drama,Romance"	8.3	1282
"51024"	"tt0051948"	"movie"	"Monster on the Campus"	"Monster on the Campus"	0	1958	"\N"	"77"	"Horror,Sci-Fi"	5.8	1351
"51034"	"tt0051959"	"movie"	"Murder by Contract"	"Murder by Contract"	0	1958	"\N"	"81"	"Crime,Drama,Film-Noir"	7.4	1852
"51039"	"tt0051964"	"movie"	"Mädchen in Uniform"	"Mädchen in Uniform"	0	1958	"\N"	"95"	"Drama"	7.1	1110
"51053"	"tt0051978"	"movie"	"The Naked and the Dead"	"The Naked and the Dead"	0	1958	"\N"	"131"	"Drama,War"	6.5	1070
"51055"	"tt0051980"	"movie"	"The Ballad of Narayama"	"Narayama bushikô"	0	1958	"\N"	"98"	"Drama"	8	2331
"51058"	"tt0051983"	"movie"	"Nazarin"	"Nazarín"	0	1959	"\N"	"94"	"Drama"	8	4512
"51064"	"tt0051989"	"movie"	"Neither Seen Nor Recognized"	"Ni vu, ni connu"	0	1958	"\N"	"95"	"Comedy"	7.3	1233
"51069"	"tt0051994"	"movie"	"A Night to Remember"	"A Night to Remember"	0	1958	"\N"	"123"	"Biography,Drama,History"	7.9	12282
"51075"	"tt0052002"	"movie"	"No Name on the Bullet"	"No Name on the Bullet"	0	1959	"\N"	"77"	"Western"	7.3	1734
"51078"	"tt0052005"	"movie"	"No Time for Sergeants"	"No Time for Sergeants"	0	1958	"\N"	"119"	"Comedy,War"	7.7	3372
"51089"	"tt0052017"	"movie"	"Brink of Life"	"Nära livet"	0	1958	"\N"	"84"	"Drama"	7.6	2046
"51099"	"tt0052027"	"movie"	"The Old Man and the Sea"	"The Old Man and the Sea"	0	1958	"\N"	"86"	"Adventure,Drama"	7	6402
"51120"	"tt0052050"	"movie"	"Party Girl"	"Party Girl"	0	1958	"\N"	"99"	"Crime,Drama,Film-Noir"	7.1	2470
"51149"	"tt0052080"	"movie"	"Ashes and Diamonds"	"Popiól i diament"	0	1958	"\N"	"103"	"Drama,Romance,War"	7.9	9133
"51165"	"tt0052097"	"movie"	"The Proud Rebel"	"The Proud Rebel"	0	1958	"\N"	"103"	"Western"	7	1147
"51173"	"tt0052106"	"movie"	"The Quiet American"	"The Quiet American"	0	1958	"\N"	"120"	"Drama,Romance,Thriller"	6.7	1492
"51182"	"tt0052117"	"movie"	"Rally 'Round the Flag, Boys!"	"Rally 'Round the Flag, Boys!"	0	1958	"\N"	"106"	"Comedy"	6	1016
"51191"	"tt0052126"	"movie"	"The Reluctant Debutante"	"The Reluctant Debutante"	0	1958	"\N"	"94"	"Comedy,Romance"	6.9	1157
"51196"	"tt0052131"	"movie"	"The Return of Dracula"	"The Return of Dracula"	0	1958	"\N"	"77"	"Drama,Horror,Mystery"	5.7	1018
"51206"	"tt0052141"	"movie"	"Rock-a-Bye Baby"	"Rock-a-Bye Baby"	0	1958	"\N"	"103"	"Comedy"	6.8	1531
"51214"	"tt0052151"	"movie"	"Run Silent Run Deep"	"Run Silent Run Deep"	0	1958	"\N"	"93"	"Action,Drama,War"	7.4	9196
"51245"	"tt0052182"	"movie"	"Separate Tables"	"Separate Tables"	0	1958	"\N"	"100"	"Drama,Romance"	7.5	5916
"51251"	"tt0052190"	"movie"	"The Sheepman"	"The Sheepman"	0	1958	"\N"	"85"	"Western"	6.9	2095
"51275"	"tt0052216"	"movie"	"Big Deal on Madonna Street"	"I soliti ignoti"	0	1958	"\N"	"106"	"Comedy,Crime"	8	8077
"51277"	"tt0052218"	"movie"	"Some Came Running"	"Some Came Running"	0	1958	"\N"	"137"	"Drama,Romance"	7.5	5098
"51284"	"tt0052225"	"movie"	"South Pacific"	"South Pacific"	0	1958	"\N"	"157"	"Musical,Romance,War"	6.9	7297
"51292"	"tt0052233"	"movie"	"The Square Peg"	"The Square Peg"	0	1958	"\N"	"85"	"Comedy,War"	7.2	1165
"51327"	"tt0052270"	"movie"	"A Tale of Two Cities"	"A Tale of Two Cities"	0	1958	"\N"	"117"	"Drama,History,Romance"	7.2	1205
"51335"	"tt0052278"	"movie"	"Teacher's Pet"	"Teacher's Pet"	0	1958	"\N"	"120"	"Comedy,Romance"	7.1	3714
"51344"	"tt0052287"	"movie"	"Terror in a Texas Town"	"Terror in a Texas Town"	0	1958	"\N"	"80"	"Drama,Western"	6.8	1527
"51350"	"tt0052293"	"movie"	"Thunder Road"	"Thunder Road"	0	1958	"\N"	"92"	"Crime,Drama,Film-Noir"	6.7	2804
"51352"	"tt0052295"	"movie"	"Der Tiger von Eschnapur"	"Der Tiger von Eschnapur"	0	1959	"\N"	"101"	"Adventure,Drama,Romance"	6.8	2087
"51353"	"tt0052296"	"movie"	"A Time to Love and a Time to Die"	"A Time to Love and a Time to Die"	0	1958	"\N"	"132"	"Drama,Romance,War"	7.7	2520
"51360"	"tt0052303"	"movie"	"Torpedo Run"	"Torpedo Run"	0	1958	"\N"	"98"	"Drama,War"	6.4	1643
"51368"	"tt0052311"	"movie"	"Touch of Evil"	"Touch of Evil"	0	1958	"\N"	"95"	"Crime,Drama,Film-Noir"	8	92417
"51414"	"tt0052357"	"movie"	"Vertigo"	"Vertigo"	0	1958	"\N"	"128"	"Mystery,Romance,Thriller"	8.3	316744
"51422"	"tt0052365"	"movie"	"The Vikings"	"The Vikings"	0	1958	"\N"	"116"	"Action,Adventure"	7.1	11201
"51431"	"tt0052374"	"movie"	"The Deadly Invention"	"Vynález zkázy"	0	1958	"\N"	"78"	"Adventure,Animation,Fantasy"	7.5	1514
"51470"	"tt0052415"	"movie"	"The Young Lions"	"The Young Lions"	0	1958	"\N"	"167"	"Action,Drama,War"	7.3	6591
"51481"	"tt0052427"	"movie"	"Tom Thumb"	"Tom Thumb"	0	1958	"\N"	"98"	"Family,Fantasy,Musical"	6.5	2041
"51581"	"tt0052530"	"movie"	"4D Man"	"4D Man"	0	1959	"\N"	"85"	"Action,Horror,Romance"	5.9	1293
"51593"	"tt0052543"	"movie"	"Al Capone"	"Al Capone"	0	1959	"\N"	"104"	"Biography,Crime,Drama"	6.8	1270
"51595"	"tt0052545"	"movie"	"Alias Jesse James"	"Alias Jesse James"	0	1959	"\N"	"92"	"Comedy,Romance,Western"	6.5	1082
"51599"	"tt0052549"	"movie"	"The Alligator People"	"The Alligator People"	0	1959	"\N"	"74"	"Horror,Mystery,Sci-Fi"	5.5	1535
"51606"	"tt0052556"	"movie"	"The Lovers"	"Les amants"	0	1958	"\N"	"90"	"Drama,Romance"	7.3	4216
"51611"	"tt0052561"	"movie"	"Anatomy of a Murder"	"Anatomy of a Murder"	0	1959	"\N"	"160"	"Crime,Drama,Mystery"	8	53607
"51613"	"tt0052564"	"movie"	"The Angry Red Planet"	"The Angry Red Planet"	0	1959	"\N"	"83"	"Adventure,Sci-Fi"	5.3	2545
"51621"	"tt0052572"	"movie"	"The World of Apu"	"Apur Sansar"	0	1959	"\N"	"105"	"Drama"	8.3	9701
"51636"	"tt0052587"	"movie"	"The Atomic Submarine"	"The Atomic Submarine"	0	1959	"\N"	"72"	"Sci-Fi,Thriller"	5.2	1138
"51649"	"tt0052600"	"movie"	"Ballad of a Soldier"	"Ballada o soldate"	0	1959	"\N"	"88"	"Drama,Romance,War"	8.1	8538
"51651"	"tt0052602"	"movie"	"The Bat"	"The Bat"	0	1959	"\N"	"80"	"Horror,Mystery,Thriller"	6.1	3601
"51656"	"tt0052607"	"movie"	"The Battle of the Sexes"	"The Battle of the Sexes"	0	1960	"\N"	"84"	"Comedy"	6.8	1036
"51660"	"tt0052611"	"movie"	"The Giant Behemoth"	"Behemoth the Sea Monster"	0	1959	"\N"	"80"	"Drama,Fantasy,Horror"	5.8	1934
"51666"	"tt0052618"	"movie"	"Ben-Hur"	"Ben-Hur"	0	1959	"\N"	"212"	"Adventure,Drama,History"	8.1	199969
"51667"	"tt0052619"	"movie"	"The Best of Everything"	"The Best of Everything"	0	1959	"\N"	"121"	"Drama,Romance"	6.4	1554
"51692"	"tt0052644"	"movie"	"Le Bossu"	"Le bossu"	0	1959	"\N"	"105"	"Action,Adventure"	6.9	1000
"51702"	"tt0052654"	"movie"	"The Bridge"	"Die Brücke"	0	1959	"\N"	"103"	"Drama,War"	7.8	6303
"51703"	"tt0052655"	"movie"	"A Bucket of Blood"	"A Bucket of Blood"	0	1959	"\N"	"66"	"Comedy,Crime,Horror"	6.8	5076
"51723"	"tt0052676"	"movie"	"Carry on Teacher"	"Carry on Teacher"	0	1959	"\N"	"86"	"Comedy"	6.3	1803
"51744"	"tt0052698"	"movie"	"Classe Tous Risques"	"Classe tous risques"	0	1960	"\N"	"110"	"Crime,Drama,Romance"	7.5	2710
"51746"	"tt0052700"	"movie"	"Compulsion"	"Compulsion"	0	1959	"\N"	"103"	"Biography,Crime,Drama"	7.5	5228
"51754"	"tt0052708"	"movie"	"Les Cousins"	"Les cousins"	0	1959	"\N"	"112"	"Drama"	7.4	2209
"51759"	"tt0052713"	"movie"	"The Crimson Kimono"	"The Crimson Kimono"	0	1959	"\N"	"82"	"Crime,Drama,Mystery"	6.9	1697
"51768"	"tt0052722"	"movie"	"Darby O'Gill and the Little People"	"Darby O'Gill and the Little People"	0	1959	"\N"	"93"	"Adventure,Family,Fantasy"	7.2	6176
"51770"	"tt0052724"	"movie"	"Day of the Outlaw"	"Day of the Outlaw"	0	1959	"\N"	"92"	"Western"	7.3	2448
"51779"	"tt0052733"	"movie"	"Two Men in Manhattan"	"Deux hommes dans Manhattan"	0	1959	"\N"	"84"	"Crime,Drama,Thriller"	6.8	1281
"51781"	"tt0052735"	"movie"	"The Devil's Disciple"	"The Devil's Disciple"	0	1959	"\N"	"83"	"Comedy,History,Romance"	7.3	1867
"51784"	"tt0052738"	"movie"	"The Diary of Anne Frank"	"The Diary of Anne Frank"	0	1959	"\N"	"180"	"Biography,Drama,Family"	7.4	10966
"51832"	"tt0052786"	"movie"	"Violent Summer"	"Estate violenta"	0	1959	"\N"	"98"	"Drama,War"	7.6	1047
"51837"	"tt0052792"	"movie"	"The FBI Story"	"The FBI Story"	0	1959	"\N"	"149"	"Crime,Drama,History"	6.6	2699
"51849"	"tt0052805"	"movie"	"First Man Into Space"	"First Man Into Space"	0	1959	"\N"	"77"	"Drama,Horror,Sci-Fi"	5.5	1018
"51853"	"tt0052809"	"movie"	"The Five Pennies"	"The Five Pennies"	0	1959	"\N"	"117"	"Biography,Drama,Music"	7.3	1469
"51855"	"tt0052811"	"movie"	"The Flesh and the Fiends"	"The Flesh and the Fiends"	0	1960	"\N"	"97"	"Crime,Drama,Horror"	7.1	1311
"51876"	"tt0052832"	"movie"	"The Fugitive Kind"	"The Fugitive Kind"	0	1960	"\N"	"119"	"Drama,Romance"	7.2	4770
"51881"	"tt0052837"	"movie"	"The Gazebo"	"The Gazebo"	0	1959	"\N"	"100"	"Comedy,Crime,Thriller"	6.9	1469
"51891"	"tt0052847"	"movie"	"Gidget"	"Gidget"	0	1959	"\N"	"95"	"Comedy"	6.7	2749
"51904"	"tt0052861"	"movie"	"The Great War"	"La grande guerra"	0	1959	"\N"	"137"	"Comedy,Drama,War"	8.3	3244
"51905"	"tt0052862"	"movie"	"The St. Louis Bank Robbery"	"The St. Louis Bank Robbery"	0	1959	"\N"	"89"	"Crime,Drama,Thriller"	5.9	1065
"51907"	"tt0052864"	"movie"	"Green Mansions"	"Green Mansions"	0	1959	"\N"	"104"	"Adventure,Drama,Romance"	5.6	1882
"51919"	"tt0052876"	"movie"	"The Hanging Tree"	"The Hanging Tree"	0	1959	"\N"	"107"	"Western"	7.2	3157
"51936"	"tt0052893"	"movie"	"Hiroshima Mon Amour"	"Hiroshima mon amour"	0	1959	"\N"	"90"	"Drama,Romance"	8	24574
"51938"	"tt0052896"	"movie"	"A Hole in the Head"	"A Hole in the Head"	0	1959	"\N"	"120"	"Comedy,Drama"	6.3	2122
"51943"	"tt0052902"	"movie"	"The Horse Soldiers"	"The Horse Soldiers"	0	1959	"\N"	"120"	"Adventure,Romance,War"	7.2	8369
"51946"	"tt0052905"	"movie"	"The Hound of the Baskervilles"	"The Hound of the Baskervilles"	0	1959	"\N"	"87"	"Horror,Mystery"	7	8197
"51952"	"tt0052911"	"movie"	"I'm All Right Jack"	"I'm All Right Jack"	0	1959	"\N"	"105"	"Comedy"	7.3	3201
"51959"	"tt0052918"	"movie"	"Imitation of Life"	"Imitation of Life"	0	1959	"\N"	"125"	"Drama"	7.9	13221
"51965"	"tt0052924"	"movie"	"The Indian Tomb"	"Das indische Grabmal"	0	1959	"\N"	"102"	"Adventure,Romance"	6.8	1902
"51970"	"tt0052929"	"movie"	"Invisible Invaders"	"Invisible Invaders"	0	1959	"\N"	"67"	"Horror,Sci-Fi"	5	1321
"51974"	"tt0052933"	"movie"	"It Happened to Jane"	"It Happened to Jane"	0	1959	"\N"	"97"	"Comedy"	6.6	2078
"51989"	"tt0052948"	"movie"	"Journey to the Center of the Earth"	"Journey to the Center of the Earth"	0	1959	"\N"	"132"	"Adventure,Family,Fantasy"	7.1	13867
"51991"	"tt0052950"	"movie"	"The Journey"	"The Journey"	0	1959	"\N"	"126"	"Drama,Romance,War"	7	1277
"51995"	"tt0052954"	"movie"	"Kaagaz Ke Phool"	"Kaagaz Ke Phool"	0	1959	"\N"	"148"	"Musical,Romance"	8.1	1742
"52002"	"tt0052961"	"movie"	"Kapò"	"Kapò"	0	1960	"\N"	"117"	"Drama,War"	7.7	1665
"52034"	"tt0052993"	"movie"	"Last Train from Gun Hill"	"Last Train from Gun Hill"	0	1959	"\N"	"95"	"Romance,Western"	7.4	5721
"52038"	"tt0052997"	"movie"	"The League of Gentlemen"	"The League of Gentlemen"	0	1960	"\N"	"116"	"Comedy,Crime,Thriller"	7.5	3282
"52042"	"tt0053001"	"movie"	"Li'l Abner"	"Li'l Abner"	0	1959	"\N"	"114"	"Comedy,Family,Musical"	6.8	1173
"52043"	"tt0053002"	"movie"	"Les liaisons dangereuses"	"Les liaisons dangereuses"	0	1959	"\N"	"106"	"Drama,Romance"	6.9	1088
"52079"	"tt0053041"	"movie"	"The Man Who Could Cheat Death"	"The Man Who Could Cheat Death"	0	1959	"\N"	"83"	"Drama,Horror,Sci-Fi"	6.4	1293
"52092"	"tt0053054"	"movie"	"The Mating Game"	"The Mating Game"	0	1959	"\N"	"96"	"Comedy,Romance"	7	1206
"52121"	"tt0053084"	"movie"	"The Mouse That Roared"	"The Mouse That Roared"	0	1959	"\N"	"83"	"Comedy"	7	7524
"52122"	"tt0053085"	"movie"	"The Mummy"	"The Mummy"	0	1959	"\N"	"86"	"Adventure,Horror"	6.8	6979
"52141"	"tt0053106"	"movie"	"Letter Never Sent"	"Neotpravlennoe pismo"	0	1960	"\N"	"96"	"Adventure,Drama"	7.9	2583
"52143"	"tt0053108"	"movie"	"Never So Few"	"Never So Few"	0	1959	"\N"	"125"	"Drama,War"	5.9	2623
"52149"	"tt0053114"	"movie"	"The Human Condition I: No Greater Love"	"Ningen no jôken"	0	1959	"\N"	"208"	"Drama,War"	8.6	5026
"52150"	"tt0053115"	"movie"	"The Human Condition II: Road to Eternity"	"Ningen no jôken"	0	1959	"\N"	"181"	"Drama,History,War"	8.6	3945
"52155"	"tt0053121"	"movie"	"Fires on the Plain"	"Nobi"	0	1959	"\N"	"108"	"Drama,War"	8	3890
"52159"	"tt0053125"	"movie"	"North by Northwest"	"North by Northwest"	0	1959	"\N"	"136"	"Adventure,Mystery,Thriller"	8.3	268913
"52160"	"tt0053126"	"movie"	"North West Frontier"	"North West Frontier"	0	1959	"\N"	"129"	"Adventure,Drama"	7.2	1932
"52164"	"tt0053131"	"movie"	"The Nun's Story"	"The Nun's Story"	0	1959	"\N"	"149"	"Drama"	7.6	8436
"52166"	"tt0053133"	"movie"	"Odds Against Tomorrow"	"Odds Against Tomorrow"	0	1959	"\N"	"96"	"Crime,Drama,Thriller"	7.4	3126
"52167"	"tt0053134"	"movie"	"Good Morning"	"Ohayô"	0	1959	"\N"	"94"	"Comedy,Drama,Family"	7.9	6304
"52170"	"tt0053137"	"movie"	"On the Beach"	"On the Beach"	0	1959	"\N"	"134"	"Drama,Romance,Sci-Fi"	7.2	10846
"52176"	"tt0053143"	"movie"	"Operation Petticoat"	"Operation Petticoat"	0	1959	"\N"	"124"	"Comedy,Romance,War"	7.3	11133
"52179"	"tt0053146"	"movie"	"Black Orpheus"	"Orfeu Negro"	0	1959	"\N"	"100"	"Drama,Fantasy,Music"	7.5	8600
"52199"	"tt0053168"	"movie"	"Pickpocket"	"Pickpocket"	0	1959	"\N"	"76"	"Crime,Drama"	7.8	16868
"52203"	"tt0053172"	"movie"	"Pillow Talk"	"Pillow Talk"	0	1959	"\N"	"102"	"Comedy,Romance"	7.5	13663
"52207"	"tt0053176"	"movie"	"Night Train"	"Pociag"	0	1959	"\N"	"99"	"Drama,Mystery,Thriller"	7.8	2237
"52212"	"tt0053182"	"movie"	"Porgy and Bess"	"Porgy and Bess"	0	1959	"\N"	"138"	"Drama,Musical,Romance"	7.3	1366
"52213"	"tt0053183"	"movie"	"Pork Chop Hill"	"Pork Chop Hill"	0	1959	"\N"	"97"	"Action,Drama,War"	7.1	3850
"52227"	"tt0053198"	"movie"	"The 400 Blows"	"Les quatre cents coups"	0	1959	"\N"	"99"	"Crime,Drama"	8.1	91446
